"","miRNA","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","105_RNA-m105_Sal_24H_PLASMA_CATTTT_S39_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"1","mmu-let-7a-1_mature",10,1,5,4087,2209,34576,1465,13,13597,225,596,487,1312,37,248,1539,1318,5,448,399,1392,6419,13983,4991,4226,1952,2850,704,3288,7258
"2","mmu-let-7a-2_mature",3,4,4,4295,2309,33188,1244,9,13624,222,453,462,1319,30,253,1537,1308,5,338,434,1399,6325,13532,4948,4446,2060,1,745,3292,1
"3","mmu-let-7b_mature",288,221,531,12161,4655,60657,2403,631,18575,601,1783,5,697,330,7,465,2685,742,755,626,1452,8275,2,117,119,2422,3752,1046,9209,2
"4","mmu-let-7c-1_mature",237,9,1,7423,2973,56813,701,11,7773,953,248,7,249,463,1320,1021,1585,8,182,544,7,7317,16848,4544,4964,2233,2388,703,4359,6474
"5","mmu-let-7c-2_mature",266,6,8,7438,2931,56960,755,15,7758,957,245,9,216,487,1378,1002,1627,7,198,562,15,7470,17142,4393,4979,2125,2402,707,4203,6275
"6","mmu-let-7d_mature",423,3,2,1124,869,14923,487,5,3633,365,1,1,2,3,3,413,999,1,159,11,5,4923,16480,7594,3285,2764,4300,498,6105,5626
"7","mmu-let-7e_mature",0,0,0,914,121,67,0,0,690,1,0,0,0,0,336,0,1,0,75,3,0,13,17,163,205,9,500,9,1,589
"8","mmu-let-7f-1_mature",201,748,1098,3970,2875,32780,1862,623,14120,241,1238,467,10,138,150,635,2016,244,377,151,5,6460,12455,4397,4552,2562,2836,1200,4770,5437
"9","mmu-let-7f-2_mature",178,732,1126,3888,2873,39022,1825,573,15193,278,1172,480,13,135,120,637,1997,265,327,151,7,6663,12220,4548,4934,2603,2768,1392,4764,5694
"10","mmu-let-7g_mature",1665,10,8,17324,9238,86327,1805,2101,31205,2153,1305,1043,1547,487,429,1343,6576,409,1094,982,1726,30474,79938,23858,11852,7471,13694,3755,18743,27149
"11","mmu-let-7i_mature",270,2,445,5933,5258,8401,2024,1121,9082,613,88,230,1075,4,0,282,2333,484,363,592,1269,7376,23498,8807,1620,1280,3789,85,5405,6675
"12","mmu-mir-100_mature",0,1,0,1,0,2455,130,0,592,199,0,113,0,1,0,433,0,0,0,4,0,1656,3383,842,2066,832,673,329,853,889
"13","mmu-mir-101a_mature",1,0,2,440,1840,5667,585,1,2123,943,2,193,336,0,1,474,281,1,63,126,0,4589,10466,4958,3258,966,2252,663,3563,4427
"14","mmu-mir-101b_mature",0,0,0,197,1679,11645,537,0,1921,4,2,1,365,2,3,2,375,0,59,152,7,11096,8147,5409,1840,1509,2068,1079,4027,4645
